iter	Passed	Remaining
197	339	1373
198	339	1367
199	340	1361
200	341	1355
201	341	1349
202	342	1343
203	342	1337
204	343	1332
205	344	1326
206	344	1320
207	345	1315
208	346	1309
209	346	1304
210	347	1299
211	348	1294
212	348	1289
213	349	1284
214	350	1278
215	351	1274
216	351	1269
217	352	1265
218	353	1261
219	354	1256
220	354	1250
221	355	1245
222	356	1240
223	356	1235
224	357	1230
225	357	1225
226	358	1221
227	359	1216
228	359	1211
229	360	1207
230	361	1202
231	361	1197
232	362	1193
233	363	1188
234	363	1184
235	364	1179
236	365	1175
237	365	1171
238	366	1167
239	367	1163
240	368	1160
241	369	1156
242	369	1152
243	370	1148
244	371	1144
245	371	1139
246	372	1135
247	373	1131
248	373	1127
249	374	1123
250	375	1119
251	375	1115
252	376	1112
253	377	1108
254	378	1104
255	378	1100
256	379	1097
257	380	1093
258	381	1090
259	381	1087
260	383	1084
261	383	1081
262	384	1077
263	385	1073
264	385	1069
265	386	1066
266	386	1062
267	387	1058
268	388	1055
269	388	1051
270	389	1048
271	390	1044
272	390	1040
273	391	1037
274	392	1033
275	392	1030
276	393	1026
277	394	1023
278	394	1020
279	395	1017
280	396	1015
281	397	1012
282	398	1009
283	399	1006
284	399	1002
285	400	999
286	400	995
287	401	992
288	402	989
289	402	986
290	403	982
291	404	979
292	404	976
293	405	973
294	406	970
295	406	967
296	407	964
297	407	960
298	408	957
299	409	954
300	410	952
301	410	949
302	411	947
303	412	944
304	413	941
305	413	938
306	414	935
307	415	932
308	415	929
309	416	926
310	417	923
311	417	921
312	418	918
313	418	915
314	419	912
315	420	909
316	420	906
317	421	904
318	422	901
319	422	898
320	423	896
321	424	893
322	425	891
323	426	890
324	427	888
325	428	886
326	429	884
327	430	882
328	431	880
329	432	877
330	433	875
331	433	872
332	434	870
333	434	867
334	435	864
335	436	862
336	436	859
337	437	857
338	438	854
339	439	852
340	439	850
341	440	848
342	441	846
343	442	844
344	443	841
345	443	839
346	444	836
347	445	834
348	445	831
349	446	829
350	447	826
351	447	824
352	448	821
353	448	819
354	449	816
355	450	814
356	450	812
357	451	809
358	452	807
359	452	805
360	453	802
361	454	800
362	454	798
363	455	796
364	456	794
365	457	792
366	458	790
367	458	787
368	459	785
369	460	783
370	460	781
371	461	778
372	462	776
373	462	774
374	463	772
375	463	769
376	464	767
377	465	765
378	465	763
379	466	761
380	467	759
381	467	757
382	468	755
383	469	753
384	470	751
385	471	749
386	472	747
387	472	745
388	473	743
389	474	741
390	475	740
391	475	738
392	476	736
393	477	734
394	478	733
395	479	730
396	479	728
397	480	726
398	481	724
399	481	722
400	482	720
401	482	718
402	483	716
403	484	714
404	485	712
405	485	710
406	486	708
407	487	706
408	487	704
409	488	702
410	489	700
411	489	698
412	490	697
413	491	695
414	491	693
415	492	691
416	493	689
417	493	687
418	494	685
419	494	683
420	495	681
421	496	679
422	496	677
423	497	675
424	498	674
425	499	672
426	499	670
427	500	669
428	501	667
429	502	665
430	502	664
431	503	662
432	504	660
433	504	658
434	505	656
435	506	654
436	506	653
437	507	651
438	508	649
439	508	647
440	509	645
441	510	644
442	511	642
443	511	641
444	512	639
445	513	637
446	514	636
447	515	634
448	515	633
449	516	631
450	517	629
451	518	628
452	518	626
453	519	624
454	520	623
455	521	621
456	521	619
457	522	618
458	523	616
459	523	614
460	524	613
461	524	611
462	525	609
463	526	607
464	526	606
465	527	604
466	528	602
467	529	601
468	529	599
469	530	598
470	531	596
471	531	594
472	532	593
473	533	591
474	534	590
475	534	588
476	535	587
477	536	585
478	536	584
479	537	582
480	538	581
481	539	579
482	540	578
483	540	576
484	541	574
485	542	573
486	543	572
487	544	570
488	544	569
489	545	567
490	546	566
491	546	564
492	547	563
493	548	561
494	548	559
495	549	558
496	550	556
497	550	555
498	551	553
499	552	552
500	552	550
501	553	548
502	553	547
503	554	545
504	555	544
505	555	542
506	556	540
507	556	539
508	557	537
509	558	536
510	559	535
511	560	534
512	561	532
513	561	531
514	562	529
515	563	528
516	563	526
517	564	525
518	564	523
519	565	521
520	566	520
521	566	518
522	567	517
523	567	515
524	568	514
525	569	512
526	569	511
527	570	509
528	571	508
529	571	506
530	572	505
531	573	504
532	574	503
533	575	501
534	575	500
535	576	498
536	576	497
537	577	495
538	577	494
539	578	492
540	579	491
541	579	489
542	580	488
543	580	486
544	581	485
545	581	483
546	582	482
547	583	481
548	583	479
549	584	478
550	585	476
551	585	475
552	586	474
553	587	472
554	588	471
555	589	470
556	590	469
557	590	468
558	591	466
559	592	465
560	593	464
561	593	462
562	594	461
563	594	459
564	595	458
565	596	457
566	596	455
567	597	454
568	597	452
569	598	451
570	599	450
571	599	448
572	600	447
573	601	446
574	602	444
575	602	443
576	603	442
577	604	441
578	604	439
579	605	438
580	606	437
581	606	435
582	607	434
583	607	433
584	608	431
585	609	430
586	609	429
587	610	427
588	611	426
589	611	425
590	612	423
591	613	422
592	613	421
593	614	420
594	615	418
595	616	417
596	616	416
597	617	415
598	618	414
599	619	413
600	620	411
601	621	410
602	621	409
603	622	407
604	622	406
605	623	405
606	624	404
607	624	402
608	625	401
609	626	400
610	626	398
611	627	397
612	627	396
613	628	395
614	629	393
615	629	392
616	630	391
617	631	390
618	631	388
619	632	387
620	633	386
621	633	385
622	634	383
623	634	382
624	635	381
625	636	379
626	636	378
627	637	377
628	637	376
629	638	374
630	638	373
631	639	372
632	639	371
633	640	369
634	641	368
635	641	367
636	642	366
637	643	364
638	643	363
639	644	362
640	644	361
641	645	360
642	646	358
643	647	357
644	647	356
645	648	355
646	649	354
647	650	353
648	650	352
649	651	350
650	652	349
651	652	348
652	653	347
653	653	345
654	654	344
655	655	343
656	655	342
657	656	341
658	657	339
659	657	338
660	658	337
661	658	336
662	659	335
663	659	333
664	660	332
665	661	331
666	662	330
667	663	329
668	663	328
669	664	327
670	665	326
671	665	325
672	666	323
673	667	322
674	667	321
675	668	320
676	668	319
677	669	317
678	670	316
679	670	315
680	671	314
681	672	313
682	672	312
683	673	311
684	673	309
685	674	308
686	675	307
687	675	306
688	676	305
689	677	304
690	677	303
691	678	301
692	678	300
693	679	299
694	680	298
695	680	297
696	681	296
697	682	295
698	682	293
699	683	292
700	683	291
701	684	290
702	685	289
703	685	288
704	686	287
705	686	285
706	687	284
707	688	283
708	688	282
709	689	281
710	690	280
711	690	279
712	691	278
713	691	277
714	692	276
715	693	274
716	693	273
717	694	272
718	695	271
719	695	270
720	696	269
721	696	268
722	697	267
723	698	266
724	698	265
725	699	263
726	700	262
727	700	261
728	701	260
729	701	259
730	702	258
731	703	257
732	703	256
733	704	255
734	705	254
735	705	253
736	706	252
737	707	251
738	707	249
739	708	248
740	709	247
741	709	246
742	710	245
743	710	244
744	711	243
745	712	242
746	712	241
747	713	240
748	713	239
749	714	238
750	715	237
751	715	236
752	716	234
753	717	233
754	717	232
755	718	231
756	719	230
757	719	229
758	720	228
759	721	227
760	722	226
761	722	225
762	723	224
763	724	223
764	724	222
765	725	221
766	726	220
767	726	219
768	727	218
769	728	217
770	728	216
771	729	215
772	729	214
773	730	213
774	731	212
775	731	211
776	732	210
777	733	209
778	733	208
779	734	207
780	734	206
781	735	205
782	736	204
783	736	203
784	737	201
785	738	200
786	738	199
787	739	198
788	739	197
789	740	196
790	741	195
791	741	194
792	742	193
793	742	192
794	743	191
795	744	190
796	744	189
797	745	188
798	746	187
799	747	186
800	748	185
801	748	184
802	749	183
803	750	182
804	751	181
805	751	180
806	752	179
807	753	178
808	753	178
809	754	177
810	755	175
811	755	174
812	756	173
813	757	172
814	757	171
815	758	170
816	758	169
817	759	168
818	760	167
819	760	166
820	761	166
821	762	165
822	762	164
823	763	163
824	764	162
825	764	161
826	765	160
827	766	159
828	766	158
829	767	157
830	767	156
831	768	155
832	769	154
833	769	153
834	770	152
835	771	151
836	771	150
837	772	149
838	772	148
839	773	147
840	774	146
841	774	145
842	775	144
843	776	143
844	776	142
845	777	141
846	777	140
847	778	139
848	779	138
849	779	137
850	780	136
851	781	135
852	781	134
853	782	133
854	782	132
855	783	131
856	784	130
857	784	129
858	785	128
859	785	127
860	786	126
861	787	126
862	787	125
863	788	124
864	788	123
865	789	122
866	790	121
867	790	120
868	791	119
869	791	118
870	792	117
871	793	116
872	793	115
873	794	114
874	795	113
875	795	112
876	796	111
877	797	110
878	797	109
879	798	108
880	798	107
881	799	106
882	800	106
883	800	105
884	801	104
885	802	103
886	802	102
887	803	101
888	804	100
889	805	99
890	805	98
891	806	97
892	807	96
893	807	95
894	808	94
895	809	93
896	809	92
897	810	92
898	811	91
899	811	90
900	812	89
901	813	88
902	813	87
903	814	86
904	814	85
905	816	84
906	818	83
907	821	83
908	824	82
909	827	81
910	829	81
911	831	80
912	833	79
913	835	78
914	837	77
915	839	77
916	841	76
917	843	75
918	845	74
919	847	73
920	848	72
921	850	71
922	851	71
923	853	70
924	854	69
925	855	68
926	857	67
927	858	66
928	859	65
929	861	64
930	862	63
931	863	63
932	864	62
933	865	61
934	866	60
935	868	59
936	869	58
937	870	57
938	871	56
939	873	55
940	873	54
941	875	53
942	876	52
943	877	52
944	878	51
945	879	50
946	881	49
947	882	48
948	883	47
949	884	46
950	885	45
951	886	44
952	888	43
953	889	42
954	890	41
955	891	41
956	893	40
957	894	39
958	895	38
959	896	37
960	897	36
961	898	35
962	899	34
963	900	33
964	901	32
965	901	31
966	902	30
967	903	29
968	904	28
969	905	27
970	905	27
971	906	26
972	907	25
973	907	24
974	908	23
975	908	22
976	909	21
977	910	20
978	910	19
979	911	18
980	912	17
981	912	16
982	913	15
983	913	14
984	914	13
985	915	12
986	915	12
987	916	11
988	916	10
989	917	9
990	918	8
991	918	7
992	919	6
993	920	5
994	920	4
995	921	3
996	922	2
997	922	1
998	923	0
999	924	0
